country,iso3,region,HealthExpPC.Govt.exch,HealthExpPC.Tot.ppp,HealthExpPC.Govt.ppp,HealthExpPC.Tot.exch,total,govt,private,sex,lifeexp.Birth,lifeexp.At60,smoking.tobacco.current,smoking.tobacco.daily,smoking.cig.current,smoking.cig.daily,Pop.Total,Pop.MedAge,Pop.pCntUnder15,Pop.pCntOver60,Pop.pCntAnnGrowth,consumption.cigPC,hiv_prev15_49
,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,AMR,509.85,957.35,652.55,747.99,957.35,652.55,304.8,BTSX,75,22,NA,NA,NA,NA,89,30.26,25.96,12.35,-1.1,375,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,AMR,509.85,957.35,652.55,747.99,957.35,652.55,304.8,FMLE,76,23,NA,NA,NA,NA,89,30.26,25.96,12.35,-1.1,375,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,4068.82,3691.55,2529.24,5938.65,3691.55,2529.24,1162.31,BTSX,82,25,21,17,20,17,23050,37.08,18.95,19.46,-1.3,1034,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,4068.82,3691.55,2529.24,5938.65,3691.55,2529.24,1162.31,MLE,80,23,22,19,22,19,23050,37.08,18.95,19.46,-1.3,1034,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,4068.82,3691.55,2529.24,5938.65,3691.55,2529.24,1162.31,FMLE,84,26,19,16,19,16,23050,37.08,18.95,19.46,-1.3,1034,0.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,3991.61,4481.58,3387.76,5280.4,4481.58,3387.76,1093.82,BTSX,81,24,46,44,46,44,8464,42.4,14.51,23.52,-0.4,1650,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,3991.61,4481.58,3387.76,5280.4,4481.58,3387.76,1093.82,MLE,78,22,47,42,47,42,8464,42.4,14.51,23.52,-0.4,1650,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,3991.61,4481.58,3387.76,5280.4,4481.58,3387.76,1093.82,FMLE,84,26,45,45,45,45,8464,42.4,14.51,23.52,-0.4,1650,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,EUR,76.61,523.13,112.28,356.92,523.13,112.28,410.85,MLE,69,17,41,36,41,36,9309,29.34,22.25,8.24,-1.2,1877,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,EUR,76.61,523.13,112.28,356.92,523.13,112.28,410.85,BTSX,71,19,NA,NA,NA,NA,9309,29.34,22.25,8.24,-1.2,1877,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,EUR,76.61,523.13,112.28,356.92,523.13,112.28,410.85,FMLE,74,20,NA,NA,NA,NA,9309,29.34,22.25,8.24,-1.2,1877,0.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,AFR,7.63,52.38,17.1,23.37,52.38,17.1,35.28,BTSX,53,16,NA,NA,NA,NA,9850,17.64,44.2,3.87,-3.2,137,1.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,AFR,7.63,52.38,17.1,23.37,52.38,17.1,35.28,FMLE,54,16,NA,NA,NA,NA,9850,17.64,44.2,3.87,-3.2,137,1.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,AFR,7.63,52.38,17.1,23.37,52.38,17.1,35.28,MLE,52,15,NA,NA,NA,NA,9850,17.64,44.2,3.87,-3.2,137,1.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,3768.75,4118.98,3128.16,4962.48,4118.98,3128.16,990.82,BTSX,80,24,26,21,26,20,11060,41.41,16.88,23.81,-0.5,1455,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,3768.75,4118.98,3128.16,4962.48,4118.98,3128.16,990.82,FMLE,83,25,22,19,22,18,11060,41.41,16.88,23.81,-0.5,1455,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,3768.75,4118.98,3128.16,4962.48,4118.98,3128.16,990.82,MLE,78,22,30,24,30,22,11060,41.41,16.88,23.81,-0.5,1455,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,AFR,19.55,74.53,39.69,36.7,74.53,39.69,34.84,BTSX,57,16,8,6,6,4,10051,18.3,42.95,4.54,-2.7,71,1.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,AFR,19.55,74.53,39.69,36.7,74.53,39.69,34.84,MLE,56,16,15,12,11,8,10051,18.3,42.95,4.54,-2.7,71,1.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,AFR,19.55,74.53,39.69,36.7,74.53,39.69,34.84,FMLE,59,17,1,0,0,0,10051,18.3,42.95,4.54,-2.7,71,1.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,AFR,18.7,81.15,40.79,37.21,81.15,40.79,40.36,FMLE,57,15,8,8,0,0,16460,17.01,45.66,3.88,-2.9,109,1.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
